word,count,cum_ratio
#,6759,0.004751
#,5397,0.008544
#,5379,0.012325
#,5091,0.015903
#,5063,0.019461
#,5057,0.023016
#,5053,0.026567
#,5043,0.030112
#,5042,0.033655
#,5023,0.037186
#,5013,0.040709
#,4994,0.044219
#,4980,0.047719
#,4976,0.051217
#,4971,0.054711
#,4952,0.058191
#,4842,0.061594
#,4809,0.064974
#,3355,0.067333
#,2735,0.069255
#,2583,0.071070
#,2030,0.072497
#,1995,0.073899
#,1860,0.075207
#,1716,0.076413
#,1658,0.077578
#,1652,0.078739
#,1645,0.079895
#,1634,0.081044
#,1618,0.082181
#,1612,0.083314
#,1590,0.084431
#,1582,0.085543
#,1570,0.086647
#,1565,0.087747
#,1555,0.088840
#,1543,0.089924
#,1523,0.090995
#,1499,0.092048
#,1485,0.093092
#,1463,0.094120
#,1413,0.095113
#,1343,0.096057
#,1328,0.096991
#,1323,0.097921
#,1309,0.098841
#,1305,0.099758
#,1304,0.100674
#,1298,0.101587
#,1293,0.102495
#,1284,0.103398
#,1273,0.104293
#,1242,0.105166
#,1227,0.106028
#,1215,0.106882
#,1213,0.107735
#,1191,0.108572
#,1175,0.109397
#,1127,0.110190
#,1109,0.110969
#,1104,0.111745
#,1093,0.112513
#,1087,0.113277
#,1073,0.114031
#,1062,0.114778
#,1055,0.115519
#,1042,0.116252
#,1039,0.116982
#,1028,0.117704
#,1027,0.118426
#,1023,0.119145
#,1008,0.119854
#,1006,0.120561
#,998,0.121262
#,997,0.121963
#,988,0.122657
#,987,0.123351
#,979,0.124039
#,963,0.124716
#,958,0.125389
#,958,0.126063
#,947,0.126728
#,939,0.127388
#,936,0.128046
#,933,0.128702
#,933,0.129358
#,931,0.130012
#,928,0.130664
#,927,0.131316
#,926,0.131967
#,925,0.132617
#,924,0.133266
#,924,0.133916
#,922,0.134564
#,919,0.135210
#,919,0.135856
#,917,0.136500
#,916,0.137144
#,916,0.137788
#,914,0.138430
#,914,0.139073
#,914,0.139715
#,913,0.140357
#,912,0.140998
#,910,0.141637
#,909,0.142276
#,909,0.142915
#,909,0.143554
#,906,0.144191
#,904,0.144826
#,903,0.145461
#,903,0.146095
#,903,0.146730
#,902,0.147364
#,901,0.147997
#,900,0.148630
#,900,0.149263
#,898,0.149894
#,897,0.150524
#,897,0.151155
#,896,0.151784
#,896,0.152414
#,895,0.153043
#,894,0.153672
#,894,0.154300
#,893,0.154928
#,892,0.155554
#,891,0.156181
#,890,0.156806
#,890,0.157432
#,890,0.158057
#,889,0.158682
#,887,0.159306
#,887,0.159929
#,887,0.160552
#,886,0.161175
#,886,0.161798
#,886,0.162421
#,885,0.163043
#,884,0.163664
#,883,0.164285
#,882,0.164905
#,881,0.165524
#,881,0.166143
#,880,0.166761
#,876,0.167377
#,876,0.167993
#,875,0.168608
#,874,0.169222
#,874,0.169836
#,874,0.170451
#,872,0.171064
#,871,0.171676
#,870,0.172287
#,870,0.172899
#,868,0.173509
#,868,0.174119
#,868,0.174729
#,867,0.175338
#,866,0.175947
#,866,0.176556
#,864,0.177163
#,864,0.177770
#,863,0.178377
#,862,0.178983
#,862,0.179588
#,862,0.180194
#,862,0.180800
#,862,0.181406
#,861,0.182011
#,859,0.182615
#,859,0.183219
#,859,0.183822
#,858,0.184426
#,854,0.185026
#,853,0.185625
#,853,0.186225
#,853,0.186824
#,852,0.187423
#,842,0.188015
#,841,0.188606
#,833,0.189192
#,833,0.189777
#,833,0.190362
#,813,0.190934
#,808,0.191502
#,790,0.192057
#,787,0.192610
#,782,0.193160
#,763,0.193696
#,744,0.194219
#,739,0.194738
#,733,0.195254
#,727,0.195765
#,726,0.196275
#,721,0.196782
#,714,0.197283
#,711,0.197783
